id;display_id;nominal_code;code;name;fully_qualified_name;description;classification;type;sub_type;level;header;sub_account;parent_account.id;parent_account.name;currency;opening_balance;current_balance;tax_type;tax_rate.id;tax_rate.name;active;status;last_reconciliation_date;created_at;updated_at
57;;;;Actif du stock;Actif du stock;;asset;current_asset;Inventory;;;false;;;CAD;;0;;;;true;active;;2026-09-14T11:44:48-07:00;2026-09-14T11:44:48-07:00
20;;;;Advertising;Advertising;Money you pay for advertising, including marketing materials.;expense;expense;AdvertisingPromotional;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
21;;;;Bad debts;Bad debts;Money customers owe you that you don't think you can collect from them.;expense;expense;BadDebts;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
22;;;;Bank charges;Bank charges;Fees your bank charges you such as account fees or certified cheque charges (not interest charges).;expense;expense;BankCharges;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
4;;;;Billable Expense Income;Billable Expense Income;;revenue;revenue;ServiceFeeIncome;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:56-07:00;2026-09-08T11:25:56-07:00
23;;;;Commissions and fees;Commissions and fees;Service charges you pay such as realtor commissions, referral fees, or drop ship fees.;expense;expense;OtherMiscellaneousServiceCost;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
58;;;;Comptes clients (CC);Comptes clients (CC);;asset;accounts_receivable;AccountsReceivable;;;false;;;CAD;;223;;;;true;active;;2026-09-14T11:45:15-07:00;2026-09-14T11:45:15-07:00
14;;;;Cost of Labour - COS;Cost of Labour - COS;Money you pay people to make the goods you sell.;expense;costs_of_sales;CostOfLaborCos;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
56;;;;Coût des produits vendus;Coût des produits vendus;;expense;costs_of_sales;SuppliesMaterialsCogs;;;false;;;CAD;;0;;;;true;active;;2026-09-14T11:44:48-07:00;2026-09-14T11:44:48-07:00
8;;;;Discounts;Discounts;Any discounts you give your customers on your products or services.;revenue;revenue;DiscountsRefundsGiven;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
9;;;;Discounts given;Discounts given;Any discounts you give your customers on your products or services.;revenue;revenue;DiscountsRefundsGiven;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
24;;;;Disposal Fees;Disposal Fees;Amounts you pay to get rid of items, including garbage disposal and recycling services.;expense;expense;OtherMiscellaneousServiceCost;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
25;;;;Dues and Subscriptions;Dues and Subscriptions;Money you pay regularly for things like trade group memberships or access to magazines or websites.;expense;expense;OfficeGeneralAdministrativeExpenses;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
26;;;;Freight and Delivery;Freight and Delivery;Money you pay to deliver products to your customers.;expense;expense;ShippingFreightDelivery;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
15;;;;Freight and delivery - COS;Freight and delivery - COS;Costs for getting the supplies you use to make your products delivered to you.;expense;costs_of_sales;ShippingFreightDeliveryCos;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
27;;;;Insurance;Insurance;Costs for fire, theft, and other insurance for your business (except health insurance).;expense;expense;Insurance;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
28;;;;Insurance - Disability;Insurance - Disability;Costs for private and government disability insurance for your employees.;expense;expense;Insurance;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
29;;;;Insurance - Liability;Insurance - Liability;Costs for liability insurance for your business.;expense;expense;Insurance;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
48;;;;Interest earned;Interest earned;Interest your bank or customers pay you.;revenue;other_income;InterestEarned;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
30;;;;Interest expense;Interest expense;Interest you pay on things like loans, credit cards, and business vehicles.;expense;expense;InterestPaid;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
31;;;;Job Materials;Job Materials;Costs for supplies you buy to complete a job or provide a service (not to make products you sell).;expense;expense;SuppliesMaterials;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
32;;;;Legal and professional fees;Legal and professional fees;Costs for professional services like legal, financial, accounting, and payroll services.;expense;expense;LegalProfessionalFees;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
33;;;;Meals and entertainment;Meals and entertainment;The amounts you pay to entertain customers and treat them to meals.;expense;expense;EntertainmentMeals;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
51;;;;Miscellaneous;Miscellaneous;Smaller expeneses that don't fit into other categories.;expense;other_expense;OtherMiscellaneousExpense;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
34;;;;Office expenses;Office expenses;Costs for smaller office, kitchen, and bathroom supplies. (Doesn't include software.);expense;expense;OfficeGeneralAdministrativeExpenses;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
