Parent.Id;Parent.DocNumber;Parent.TxnDate;GroupLine.Id;Id;LineNum;DetailType;Description;Amount;AccountBasedExpenseLineDetail.AccountRef.value;AccountBasedExpenseLineDetail.AccountRef.name;AccountBasedExpenseLineDetail.TaxCodeRef.value;AccountBasedExpenseLineDetail.TaxAmount;AccountBasedExpenseLineDetail.BillableStatus;AccountBasedExpenseLineDetail.CustomerRef.value;AccountBasedExpenseLineDetail.CustomerRef.name;AccountBasedExpenseLineDetail.ClassRef.name;ItemBasedExpenseLineDetail.ItemRef.value;ItemBasedExpenseLineDetail.ItemRef.name;ItemBasedExpenseLineDetail.Qty;ItemBasedExpenseLineDetail.UnitPrice;ItemBasedExpenseLineDetail.TaxCodeRef.value;ItemBasedExpenseLineDetail.BillableStatus;ItemBasedExpenseLineDetail.CustomerRef.value;ItemBasedExpenseLineDetail.CustomerRef.name;ItemBasedExpenseLineDetail.ClassRef.name
171;2076;2026-04-24;;1;;AccountBasedExpenseLineDetail;;500.00;81;Owner's Equity - Draws;NON;;NotBillable;;;;;;;;;;;;
170;2075;2026-04-24;;1;;AccountBasedExpenseLineDetail;;95.00;89;Interest expense;NON;;NotBillable;;;;;;;;;;;;
170;2075;2026-04-24;;2;;AccountBasedExpenseLineDetail;;376.78;57;Note Payable;NON;;NotBillable;;;;;;;;;;;;
169;2074;2026-04-24;;1;;AccountBasedExpenseLineDetail;monthly water;71.85;83;Utilities - Water;5;;NotBillable;;;;;;;;;;;;
168;2073;2026-04-24;;1;;AccountBasedExpenseLineDetail;monthly electric / gas bill;215.52;82;Utilities - Electric & Gas;5;;NotBillable;;;;;;;;;;;;
167;2072;2026-04-24;;1;;AccountBasedExpenseLineDetail;monthly office rent;1250.00;64;Rent Expense;5;;NotBillable;;;;;;;;;;;;
166;2071;2026-03-24;;1;;AccountBasedExpenseLineDetail;;500.00;81;Owner's Equity - Draws;NON;;NotBillable;;;;;;;;;;;;
165;2070;2026-03-24;;1;;AccountBasedExpenseLineDetail;;95.00;89;Interest expense;NON;;NotBillable;;;;;;;;;;;;
165;2070;2026-03-24;;2;;AccountBasedExpenseLineDetail;;376.78;57;Note Payable;NON;;NotBillable;;;;;;;;;;;;
164;2069;2026-03-24;;1;;AccountBasedExpenseLineDetail;monthly water;74.21;83;Utilities - Water;5;;NotBillable;;;;;;;;;;;;
163;2068;2026-03-24;;1;;AccountBasedExpenseLineDetail;monthly electric / gas bill;202.78;82;Utilities - Electric & Gas;5;;NotBillable;;;;;;;;;;;;
162;2067;2026-03-24;;1;;AccountBasedExpenseLineDetail;monthly office rent;1250.00;64;Rent Expense;5;;NotBillable;;;;;;;;;;;;
92;;2026-02-03;;1;;AccountBasedExpenseLineDetail;;217.52;91;Janitorial Expense;5;;NotBillable;;;;;;;;;;;;
91;2054;2026-01-26;;1;;AccountBasedExpenseLineDetail;;1000.00;79;Visa Credit Card;2;;NotBillable;;;;;;;;;;;;
