Id;DocNumber;TxnDate;CurrencyRef.value;ExchangeRate;PrivateNote;DepartmentRef.value;DepartmentRef.name;ClassRef.value;ClassRef.name;Adjustment;TotalAmt;TxnTaxDetail.TotalTax;TxnTaxDetail.TaxLine;MetaData.CreateTime;MetaData.LastUpdatedTime
161;;2026-04-30;CAD;1;Filed sales tax;;;;;false;0;;;2026-04-30T15:13:50-07:00;2026-04-30T15:13:50-07:00
159;;2026-04-30;CAD;1;Filed sales tax;;;;;false;0;;;2026-04-30T15:13:10-07:00;2026-04-30T15:13:10-07:00
158;14;2026-04-30;CAD;1;;;;;;false;0;;;2026-04-30T15:11:43-07:00;2026-04-30T15:11:43-07:00
157;13;2026-04-08;CAD;1;;;;;;false;0;;;2026-04-08T00:19:10-07:00;2026-04-08T00:19:10-07:00
156;12;2026-04-01;CAD;1;;;;;;false;0;;;2026-04-01T13:55:27-07:00;2026-04-01T13:55:27-07:00
145;11;2026-03-08;CAD;1;;;;;;false;0;;;2026-04-01T11:03:22-07:00;2026-04-01T11:03:22-07:00
144;10;2026-02-06;CAD;1;;;;;;false;0;;;2026-04-01T11:02:50-07:00;2026-04-01T11:02:50-07:00
143;9;2026-01-06;CAD;1;;;;;;false;0;;;2026-04-01T11:02:09-07:00;2026-04-01T11:02:09-07:00
142;8;2025-12-07;CAD;1;;;;;;false;0;;;2026-04-01T11:01:21-07:00;2026-04-01T11:01:21-07:00
141;7;2025-11-06;CAD;1;;;;;;false;0;;;2026-04-01T11:00:51-07:00;2026-04-01T11:00:51-07:00
140;6;2025-10-09;CAD;1;;;;;;false;0;;;2026-04-01T11:00:19-07:00;2026-04-01T11:00:19-07:00
139;5;2026-09-08;CAD;1;;;;;;false;0;;;2026-04-01T10:59:34-07:00;2026-04-01T10:59:34-07:00
138;4;2026-08-08;CAD;1;;;;;;false;0;;;2026-04-01T10:59:03-07:00;2026-04-01T10:59:03-07:00
137;3;2026-08-08;CAD;1;;;;;;false;0;;;2026-04-01T10:57:57-07:00;2026-04-01T10:57:57-07:00
136;2;2026-07-09;CAD;1;;;;;;false;0;;;2026-04-01T10:56:35-07:00;2026-04-01T10:56:35-07:00
135;1;2026-06-09;CAD;1;;;;;;false;0;;;2026-04-01T10:46:00-07:00;2026-04-01T10:46:00-07:00
