Parent.Id;Parent.DocNumber;Parent.TxnDate;GroupLine.Id;Id;LineNum;DetailType;Description;Amount;JournalEntryLineDetail.PostingType;JournalEntryLineDetail.AccountRef.value;JournalEntryLineDetail.AccountRef.name;JournalEntryLineDetail.Entity.Type;JournalEntryLineDetail.Entity.EntityRef.value;JournalEntryLineDetail.Entity.EntityRef.name;JournalEntryLineDetail.ClassRef.name;JournalEntryLineDetail.DepartmentRef.name;JournalEntryLineDetail.TaxCodeRef.value;JournalEntryLineDetail.TaxApplicableOn;JournalEntryLineDetail.TaxAmount
161;;2026-04-30;;0;;JournalEntryLineDetail;Filed sales tax;340.69;Debit;86;GST/HST Payable;;;;;;;;
161;;2026-04-30;;1;;JournalEntryLineDetail;Filed sales tax;340.69;Credit;87;GST/HST Suspense;;;;;;;;
159;;2026-04-30;;0;;JournalEntryLineDetail;Filed sales tax;1495.62;Debit;86;GST/HST Payable;;;;;;;;
159;;2026-04-30;;1;;JournalEntryLineDetail;Filed sales tax;1495.62;Credit;87;GST/HST Suspense;;;;;;;;
158;14;2026-04-30;;0;;JournalEntryLineDetail;;3668.20;Debit;58;Opening Balance Equity;;;;;;;;
158;14;2026-04-30;;1;;JournalEntryLineDetail;;3668.20;Credit;2;Retained Earnings;;;;;;;;
157;13;2026-04-08;;0;;JournalEntryLineDetail;monthly depr;12.50;Debit;45;Depreciation Expense;;;;;;;;
157;13;2026-04-08;;1;;JournalEntryLineDetail;monthly depr;20.83;Debit;45;Depreciation Expense;;;;;;;;
157;13;2026-04-08;;2;;JournalEntryLineDetail;monthly depr;33.33;Credit;33;Accumulated Depreciation;;;;;;;;
156;12;2026-04-01;;0;;JournalEntryLineDetail;adjust inventory adjustments;9436.24;Debit;88;Inventory Shrinkage;;;;;;;;
156;12;2026-04-01;;1;;JournalEntryLineDetail;adjust inventory adjustments;9436.24;Credit;2;Retained Earnings;;;;;;;;
145;11;2026-03-08;;0;;JournalEntryLineDetail;monthly depr;12.50;Debit;45;Depreciation Expense;;;;;;;;
145;11;2026-03-08;;1;;JournalEntryLineDetail;monthly depr;20.83;Debit;45;Depreciation Expense;;;;;;;;
145;11;2026-03-08;;2;;JournalEntryLineDetail;monthly depr;33.33;Credit;33;Accumulated Depreciation;;;;;;;;
144;10;2026-02-06;;0;;JournalEntryLineDetail;monthly depr;12.50;Debit;45;Depreciation Expense;;;;;;;;
144;10;2026-02-06;;1;;JournalEntryLineDetail;monthly depr;20.83;Debit;45;Depreciation Expense;;;;;;;;
144;10;2026-02-06;;2;;JournalEntryLineDetail;monthly depr;33.33;Credit;33;Accumulated Depreciation;;;;;;;;
143;9;2026-01-06;;0;;JournalEntryLineDetail;monthly depr;12.50;Debit;45;Depreciation Expense;;;;;;;;
143;9;2026-01-06;;1;;JournalEntryLineDetail;monthly depr;20.83;Debit;45;Depreciation Expense;;;;;;;;
143;9;2026-01-06;;2;;JournalEntryLineDetail;monthly depr;33.33;Credit;33;Accumulated Depreciation;;;;;;;;
142;8;2025-12-07;;0;;JournalEntryLineDetail;monthly depr;12.50;Debit;45;Depreciation Expense;;;;;;;;
142;8;2025-12-07;;1;;JournalEntryLineDetail;monthly depr;20.83;Debit;45;Depreciation Expense;;;;;;;;
142;8;2025-12-07;;2;;JournalEntryLineDetail;monthly depr;33.33;Credit;33;Accumulated Depreciation;;;;;;;;
141;7;2025-11-06;;0;;JournalEntryLineDetail;monthly depr;12.50;Debit;45;Depreciation Expense;;;;;;;;
141;7;2025-11-06;;1;;JournalEntryLineDetail;monthly depr;20.83;Debit;45;Depreciation Expense;;;;;;;;
141;7;2025-11-06;;2;;JournalEntryLineDetail;monthly depr;33.33;Credit;33;Accumulated Depreciation;;;;;;;;
140;6;2025-10-09;;0;;JournalEntryLineDetail;monthly depr;12.50;Debit;45;Depreciation Expense;;;;;;;;
140;6;2025-10-09;;1;;JournalEntryLineDetail;monthly depr;20.83;Debit;45;Depreciation Expense;;;;;;;;
140;6;2025-10-09;;2;;JournalEntryLineDetail;monthly depr;33.33;Credit;33;Accumulated Depreciation;;;;;;;;
139;5;2026-09-08;;0;;JournalEntryLineDetail;monthly depr;12.50;Debit;45;Depreciation Expense;;;;;;;;
139;5;2026-09-08;;1;;JournalEntryLineDetail;monthly depr;20.83;Debit;45;Depreciation Expense;;;;;;;;
139;5;2026-09-08;;2;;JournalEntryLineDetail;monthly depr;33.33;Credit;33;Accumulated Depreciation;;;;;;;;
138;4;2026-08-08;;0;;JournalEntryLineDetail;monthly depr;12.50;Debit;45;Depreciation Expense;;;;;;;;
138;4;2026-08-08;;1;;JournalEntryLineDetail;monthly depr;20.83;Debit;45;Depreciation Expense;;;;;;;;
138;4;2026-08-08;;2;;JournalEntryLineDetail;monthly depr;33.33;Credit;33;Accumulated Depreciation;;;;;;;;
137;3;2026-08-08;;0;;JournalEntryLineDetail;depr on office furniture;12.50;Debit;45;Depreciation Expense;;;;;;;;
137;3;2026-08-08;;1;;JournalEntryLineDetail;depr on office equipment;20.83;Debit;45;Depreciation Expense;;;;;;;;
137;3;2026-08-08;;2;;JournalEntryLineDetail;depr on office equipment & equipment;33.33;Credit;33;Accumulated Depreciation;;;;;;;;
136;2;2026-07-09;;0;;JournalEntryLineDetail;depreciation on office furniture;12.50;Debit;45;Depreciation Expense;;;;;;;;
136;2;2026-07-09;;1;;JournalEntryLineDetail;depreciation on office equipment;20.83;Debit;45;Depreciation Expense;;;;;;;;
136;2;2026-07-09;;2;;JournalEntryLineDetail;depreciation on office equipment and furniture;33.33;Credit;33;Accumulated Depreciation;;;;;;;;
135;1;2026-06-09;;0;;JournalEntryLineDetail;Office Furniture -- desks, chairs, conference table;1500.00;Debit;49;Furniture and Equipment;;;;;;;;
135;1;2026-06-09;;1;;JournalEntryLineDetail;Computers and printer/scanner;1250.00;Debit;49;Furniture and Equipment;;;;;;;;
135;1;2026-06-09;;2;;JournalEntryLineDetail;office furniture and Computers and printer/scanner;2750.00;Credit;80;Owner's Equity - Contributions;;;;;;;;
