Parent.Id;Parent.DocNumber;Parent.TxnDate;GroupLine.Id;Id;LineNum;DetailType;Description;Amount;SalesItemLineDetail.ItemRef.value;SalesItemLineDetail.ItemRef.name;SalesItemLineDetail.Qty;SalesItemLineDetail.UnitPrice;SalesItemLineDetail.TaxCodeRef.value;SalesItemLineDetail.ServiceDate;SalesItemLineDetail.ItemAccountRef.value;SalesItemLineDetail.ItemAccountRef.name;SalesItemLineDetail.ClassRef.name;SalesItemLineDetail.DiscountRate;SalesItemLineDetail.DiscountAmt;DiscountLineDetail.PercentBased;DiscountLineDetail.DiscountPercent;DiscountLineDetail.DiscountAccountRef.value;DiscountLineDetail.DiscountAccountRef.name;GroupLineDetail.GroupItemRef.value;GroupLineDetail.GroupItemRef.name;GroupLineDetail.Quantity
178;1015;2026-04-01;;1;1;SalesItemLineDetail;Name Badges;900.00;21;General services:Badges:Name Badges;300;3;5;;67;Sales of Product Income;South;;;;;;;;;
178;1015;2026-04-01;;2;2;SalesItemLineDetail;Water bottles - generic;3000.00;20;General services:Water Bottles - Generic;300;10;5;;67;Sales of Product Income;South;;;;;;;;;
178;1015;2026-04-01;;;;SubTotalLineDetail;;3900.00;;;;;;;;;;;;;;;;;;
180;1016;2026-05-03;;1;1;SalesItemLineDetail;Name Badges;900.00;21;General services:Badges:Name Badges;300;3;5;;67;Sales of Product Income;South;;;;;;;;;
180;1016;2026-05-03;;2;2;SalesItemLineDetail;Water bottles - generic;3000.00;20;General services:Water Bottles - Generic;300;10;5;;67;Sales of Product Income;South;;;;;;;;;
180;1016;2026-05-03;;;;SubTotalLineDetail;;3900.00;;;;;;;;;;;;;;;;;;
174;1012;2026-03-29;;1;1;SalesItemLineDetail;Monthly consulting agreement;1200.00;1;General services:Services;8;150;5;;1;Services;Admin;;;;;;;;;
174;1012;2026-03-29;;;;SubTotalLineDetail;;1200.00;;;;;;;;;;;;;;;;;;
177;1014;2026-04-01;;1;1;SalesItemLineDetail;Name Badges;750.00;21;General services:Badges:Name Badges;250;3;5;;67;Sales of Product Income;North;;;;;;;;;
177;1014;2026-04-01;;2;2;SalesItemLineDetail;Water bottles - generic;2500.00;20;General services:Water Bottles - Generic;250;10;5;;67;Sales of Product Income;North;;;;;;;;;
177;1014;2026-04-01;;;;SubTotalLineDetail;;3250.00;;;;;;;;;;;;;;;;;;
175;1013;2026-05-03;;1;1;SalesItemLineDetail;Monthly consulting agreement;1200.00;1;General services:Services;8;150;5;;1;Services;Admin;;;;;;;;;
175;1013;2026-05-03;;;;SubTotalLineDetail;;1200.00;;;;;;;;;;;;;;;;;;
128;1007;2026-02-05;;1;1;SalesItemLineDetail;Employee training off site;1500.00;5;Employee events:Employee Training;1;1500;5;;65;Sales;North;;;;;;;;;
128;1007;2026-02-05;;2;2;SalesItemLineDetail;Promotional items - engraved padfolios;562.50;12;Promotional items:Pad folios;75;7.5;5;2026-01-26;35;Billable Expenses Income;North;;;;;;;;;
128;1007;2026-02-05;;3;3;SalesItemLineDetail;100% markup for Promotional items - engraved padfolios;0;;;;;5;2026-01-26;29;Markup;North;;;;;;;;;
128;1007;2026-02-05;;4;4;SalesItemLineDetail;Promotional items -- pens engraved;300.00;14;Promotional items:Pens;75;4;5;2026-01-26;35;Billable Expenses Income;North;;;;;;;;;
128;1007;2026-02-05;;5;5;SalesItemLineDetail;100% markup for Promotional items -- pens engraved;0;;;;;5;2026-01-26;29;Markup;North;;;;;;;;;
128;1007;2026-02-05;;6;6;SalesItemLineDetail;promotional items -- misc engraved items;506.25;13;Promotional items:Misc;75;6.75;5;2026-01-26;35;Billable Expenses Income;North;;;;;;;;;
128;1007;2026-02-05;;7;7;SalesItemLineDetail;20% markup for promotional items -- misc engraved items;101.25;;;;;5;2026-01-26;29;Markup;North;;;;;;;;;
128;1007;2026-02-05;;8;8;SalesItemLineDetail;Catering -- food & beverage;3750.00;3;General services:Catering;75;50;5;2026-02-05;35;Billable Expenses Income;North;;;;;;;;;
128;1007;2026-02-05;;9;9;SalesItemLineDetail;20% markup for Catering -- food & beverage;750.00;;;;;5;2026-02-05;29;Markup;North;;;;;;;;;
128;1007;2026-02-05;;;;SubTotalLineDetail;;7470.00;;;;;;;;;;;;;;;;;;
125;1004;2025-10-24;;1;1;SalesItemLineDetail;Employee training off site;750.00;5;Employee events:Employee Training;1;750;5;;65;Sales;East;;;;;;;;;
125;1004;2025-10-24;;2;2;SalesItemLineDetail;Promotional items - engraved padfolios;262.50;12;Promotional items:Pad folios;35;7.5;5;2025-10-24;35;Billable Expenses Income;East;;;;;;;;;
125;1004;2025-10-24;;3;3;SalesItemLineDetail;100% markup for Promotional items - engraved padfolios;0;;;;;5;2025-10-24;29;Markup;East;;;;;;;;;
125;1004;2025-10-24;;4;4;SalesItemLineDetail;Promotional items -- pens engraved;140.00;14;Promotional items:Pens;35;4;5;2025-10-24;35;Billable Expenses Income;East;;;;;;;;;
125;1004;2025-10-24;;5;5;SalesItemLineDetail;100% markup for Promotional items -- pens engraved;0;;;;;5;2025-10-24;29;Markup;East;;;;;;;;;
125;1004;2025-10-24;;6;6;SalesItemLineDetail;promotional items -- misc engraved items;236.25;13;Promotional items:Misc;35;6.75;5;2025-10-24;35;Billable Expenses Income;East;;;;;;;;;
125;1004;2025-10-24;;7;7;SalesItemLineDetail;20% markup for promotional items -- misc engraved items;47.25;;;;;5;2025-10-24;29;Markup;East;;;;;;;;;
125;1004;2025-10-24;;8;8;SalesItemLineDetail;Catering -- food & beverage;1225.00;3;General services:Catering;35;35;5;2025-10-24;35;Billable Expenses Income;East;;;;;;;;;
125;1004;2025-10-24;;9;9;SalesItemLineDetail;20% markup for Catering -- food & beverage;245.00;;;;;5;2025-10-24;29;Markup;East;;;;;;;;;
125;1004;2025-10-24;;;;SubTotalLineDetail;;2906.00;;;;;;;;;;;;;;;;;;
122;1001;2026-07-22;;1;1;SalesItemLineDetail;Holiday party - gold level;2000.00;8;Holiday party:Gold party;1;2000;5;;65;Sales;;;;;;;;;;
122;1001;2026-07-22;;2;2;SalesItemLineDetail;Venue rental;10000.00;18;General services:Venue Rental;1;10000;5;;35;Billable Expenses Income;;;;;;;;;;
122;1001;2026-07-22;;3;3;SalesItemLineDetail;promotional items -- misc engraved items;1012.50;13;Promotional items:Misc;75;13.5;5;;35;Billable Expenses Income;;;;;;;;;;
122;1001;2026-07-22;;;;SubTotalLineDetail;;13012.50;;;;;;;;;;;;;;;;;;
123;1002;2026-08-09;;1;1;SalesItemLineDetail;Holiday party - platinum level;3000.00;9;Holiday party:Platinum party;1;3000;5;;65;Sales;;;;;;;;;;
