Id;AcctNum;Name;FullyQualifiedName;SubAccount;ParentRef.value;AccountType;AccountSubType;Classification;Description;CurrentBalance;CurrentBalanceWithSubAccounts;CurrencyRef.value;TaxCodeRef.value;Active;MetaData.CreateTime
31;;Accounts Payable;Accounts Payable;false;;Accounts Payable;AccountsPayable;Liability;;-734.51;-734.51;CAD;;true;2026-03-31T21:48:10-07:00
90;;Accounts Payable (A/P) - HKD;Accounts Payable (A/P) - HKD;false;;Accounts Payable;AccountsPayable;Liability;;0;0;HKD;;true;2026-03-31T23:11:00-07:00
32;;Accounts Receivable;Accounts Receivable;false;;Accounts Receivable;AccountsReceivable;Asset;;18402.04;18402.04;CAD;;true;2026-03-31T21:48:10-07:00
92;;Accounts Receivable (A/R) - USD;Accounts Receivable (A/R) - USD;false;;Accounts Receivable;AccountsReceivable;Asset;;0;0;USD;;true;2026-04-01T01:15:09-07:00
33;;Accumulated Depreciation;Accumulated Depreciation;false;;Fixed Asset;AccumulatedDepreciation;Asset;;-366.63;-366.63;CAD;;true;2026-03-31T21:48:10-07:00
3;;Advertising;Advertising;false;;Expense;AdvertisingPromotional;Expense;;0;0;CAD;;true;2026-02-24T11:22:21-08:00
34;;Ask My Accountant;Ask My Accountant;false;;Other Expense;OtherMiscellaneousExpense;Expense;;0;0;CAD;;true;2026-03-31T21:48:10-07:00
4;;Bank charges;Bank charges;false;;Expense;BankCharges;Expense;;0;0;CAD;;true;2026-02-24T11:22:22-08:00
30;;Billable Expense Income;Billable Expense Income;false;;Income;ServiceFeeIncome;Revenue;;0;0;CAD;;true;2026-03-31T21:17:25-07:00
35;;Billable Expenses Income;Billable Expenses Income;false;;Income;OtherPrimaryIncome;Revenue;;0;0;CAD;;true;2026-03-31T21:48:11-07:00
36;;Business Licenses and Permits;Business Licenses and Permits;false;;Expense;OtherMiscellaneousServiceCost;Expense;;0;0;CAD;;true;2026-03-31T21:48:11-07:00
37;;Charitable Contributions;Charitable Contributions;false;;Expense;CharitableContributions;Expense;;0;0;CAD;;true;2026-03-31T21:48:11-07:00
38;;Chequing;Chequing;false;;Bank;Checking;Asset;;21095.57;21095.57;CAD;;true;2026-03-31T21:48:11-07:00
39;;Commission Income;Commission Income;false;;Income;OtherPrimaryIncome;Revenue;;0;0;CAD;;true;2026-03-31T21:48:11-07:00
40;;Commissions Paid;Commissions Paid;false;;Cost of Goods Sold;CostOfSales;Expense;;0;0;CAD;;true;2026-03-31T21:48:11-07:00
5;;Commissions and fees;Commissions and fees;false;;Expense;OtherMiscellaneousServiceCost;Expense;;0;0;CAD;;true;2026-02-24T11:22:22-08:00
41;;Computer and Internet Expenses;Computer and Internet Expenses;false;;Expense;OtherMiscellaneousServiceCost;Expense;;0;0;CAD;;true;2026-03-31T21:48:11-07:00
42;;Continuing Education;Continuing Education;false;;Expense;OtherMiscellaneousServiceCost;Expense;;0;0;CAD;;true;2026-03-31T21:48:11-07:00
84;;Cost of Goods Sold;Cost of Goods Sold;false;;Cost of Goods Sold;SuppliesMaterialsCogs;Expense;;0;0;CAD;;true;2026-03-31T21:50:26-07:00
44;;Cost of Sales - billable expenses;Cost of Sales - billable expenses;false;;Cost of Goods Sold;CostOfSales;Expense;;0;0;CAD;;true;2026-03-31T21:48:12-07:00
43;;Cost of sales;Cost of sales;false;;Cost of Goods Sold;SuppliesMaterialsCogs;Expense;;0;0;CAD;;true;2026-03-31T21:48:12-07:00
45;;Depreciation Expense;Depreciation Expense;false;;Other Expense;Depreciation;Expense;;0;0;CAD;;true;2026-03-31T21:48:12-07:00
28;;Discounts given;Discounts given;false;;Income;DiscountsRefundsGiven;Revenue;;0;0;CAD;;true;2026-03-31T21:12:02-07:00
6;;Dues and Subscriptions;Dues and Subscriptions;false;;Expense;DuesSubscriptions;Expense;;0;0;CAD;;true;2026-02-24T11:22:22-08:00
46;;Entertainment Booking Fees paid on behalf of clients;Entertainment Booking Fees paid on behalf of clients;false;;Cost of Goods Sold;CostOfSales;Expense;;0;0;CAD;;true;2026-03-31T21:48:12-07:00
47;;Equipment rental;Equipment rental;false;;Expense;EquipmentRental;Expense;;0;0;CAD;;true;2026-03-31T21:48:12-07:00
48;;Exchange Gain or Loss;Exchange Gain or Loss;false;;Other Expense;ExchangeGainOrLoss;Expense;;0;0;CAD;;true;2026-03-31T21:48:13-07:00
7;;Fees Billed;Fees Billed;false;;Income;OtherPrimaryIncome;Revenue;;0;0;CAD;;true;2026-02-24T11:22:22-08:00
49;;Furniture and Equipment;Furniture and Equipment;false;;Fixed Asset;FurnitureAndFixtures;Asset;;2750.00;2750.00;CAD;;true;2026-03-31T21:48:13-07:00
86;;GST/HST Payable;GST/HST Payable;false;;Other Current Liability;GlobalTaxPayable;Liability;;23.23;23.23;CAD;;true;2026-03-31T21:58:44-07:00
87;;GST/HST Suspense;GST/HST Suspense;false;;Other Current Liability;GlobalTaxSuspense;Liability;;-340.69;-340.69;CAD;;true;2026-03-31T21:58:44-07:00
8;;Insurance;Insurance;false;;Expense;Insurance;Expense;;0;0;CAD;;true;2026-02-24T11:22:22-08:00
50;;Insurance Expense;Insurance Expense;false;;Expense;Insurance;Expense;;0;0;CAD;;true;2026-03-31T21:48:13-07:00
51;;Insurance Expense-General Liability Insurance;Insurance Expense-General Liability Insurance;false;;Expense;Insurance;Expense;;0;0;CAD;;true;2026-03-31T21:48:13-07:00
52;;Insurance Expense-Health Insurance;Insurance Expense-Health Insurance;false;;Expense;Insurance;Expense;;0;0;CAD;;true;2026-03-31T21:48:13-07:00
53;;Insurance Expense-Life and Disability Insurance;Insurance Expense-Life and Disability Insurance;false;;Expense;Insurance;Expense;;0;0;CAD;;true;2026-03-31T21:48:13-07:00
9;;Interest earned;Interest earned;false;;Other Income;InterestEarned;Revenue;;0;0;CAD;;true;2026-02-24T11:22:22-08:00
89;;Interest expense;Interest expense;false;;Expense;InterestPaid;Expense;;0;0;CAD;;true;2026-03-31T23:09:01-07:00
54;;Inventory (deleted);Inventory (deleted);false;;Other Current Asset;Inventory;Asset;;0;0;CAD;;false;2026-03-31T21:48:13-07:00
85;;Inventory Asset;Inventory Asset;false;;Other Current Asset;Inventory;Asset;;7781.91;7781.91;CAD;;true;2026-03-31T21:50:27-07:00
88;;Inventory Shrinkage;Inventory Shrinkage;false;;Cost of Goods Sold;SuppliesMaterialsCogs;Expense;;0;0;CAD;;true;2026-03-31T23:02:00-07:00
91;;Janitorial Expense;Janitorial Expense;false;;Expense;OtherMiscellaneousServiceCost;Expense;;0;0;CAD;;true;2026-03-31T23:58:13-07:00
55;;Leasehold Improvements;Leasehold Improvements;false;;Fixed Asset;LeaseholdImprovements;Asset;;0;0;CAD;;true;2026-03-31T21:48:13-07:00
10;;Legal and professional fees;Legal and professional fees;false;;Expense;LegalProfessionalFees;Expense;;0;0;CAD;;true;2026-02-24T11:22:22-08:00
29;;Markup;Markup;false;;Income;ServiceFeeIncome;Revenue;;0;0;CAD;;true;2026-03-31T21:17:13-07:00
11;;Meals and entertainment;Meals and entertainment;false;;Expense;EntertainmentMeals;Expense;;0;0;CAD;;true;2026-02-24T11:22:22-08:00
