Id;Name;FullyQualifiedName;Sku;Type;Description;PurchaseDesc;UnitPrice;PurchaseCost;IncomeAccountRef.value;IncomeAccountRef.name;ExpenseAccountRef.value;ExpenseAccountRef.name;AssetAccountRef.value;AssetAccountRef.name;Taxable;SalesTaxIncluded;PurchaseTaxIncluded;SalesTaxCodeRef.value;PurchaseTaxCodeRef.value;TrackQtyOnHand;QtyOnHand;ReorderPoint;InvStartDate;SubItem;ParentRef.value;ParentRef.name;Level;PrefVendorRef.value;PrefVendorRef.name;Active;MetaData.CreateTime;MetaData.LastUpdatedTime
23;Employee events;Employee events;;Category;;;;;;;;;;;;;;;;;;;;;;;;;;true;2026-05-04T09:30:49-07:00;2026-05-04T09:32:35-07:00
4;Employee Celebration;Employee events:Employee Celebration;;Service;Employee celebration -- Anniversary / Retirement;;500;0;65;Sales;63;Purchases;;;false;false;false;;;false;;;;true;23;Employee events;1;;;true;2026-03-31T21:57:04-07:00;2026-05-04T09:32:35-07:00
5;Employee Training;Employee events:Employee Training;;Service;Employee training off site;;1500;0;65;Sales;63;Purchases;;;false;false;false;;;false;;;;true;23;Employee events;1;;;true;2026-03-31T21:57:04-07:00;2026-05-04T09:32:35-07:00
22;General services;General services;;Category;;;;;;;;;;;;;;;;;;;;;;;;;;true;2026-05-04T09:30:38-07:00;2026-05-04T09:32:21-07:00
27;Badges;General services:Badges;;Category;;;;;;;;;;;;;;;;;;;;true;22;General services;1;;;true;2026-05-04T09:31:32-07:00;2026-05-04T09:32:57-07:00
21;Name Badges;General services:Badges:Name Badges;NB-476;Inventory;Name Badges;Name Badges;3;1.5;67;Sales of Product Income;84;Cost of Goods Sold;85;Inventory Asset;false;false;false;5;5;true;3150;;2026-09-08;true;27;Badges;2;;;true;2026-04-01T00:34:12-07:00;2026-05-04T09:36:33-07:00
11;Name Badges - old;General services:Badges:Name Badges - old;;Inventory;Name Badges -- generic;Name Badges -- generic;3;1.5;67;Sales of Product Income;43;Cost of sales;85;Inventory Asset;false;false;false;;;true;0;;2026-03-31;true;27;Badges;2;;;true;2026-03-31T21:57:07-07:00;2026-05-04T09:32:57-07:00
3;Catering;General services:Catering;;Service;Catering -- food & beverage;Catering -- food & beverage;0;0;35;Billable Expenses Income;44;Cost of Sales - billable expenses;;;false;false;false;;;false;;;;true;22;General services;1;;;true;2026-03-31T21:57:03-07:00;2026-05-04T09:32:20-07:00
6;Entertainment;General services:Entertainment;;Service;Entertainment for the event;Entertainment for the event;0;0;35;Billable Expenses Income;44;Cost of Sales - billable expenses;;;false;false;false;;;false;;;;true;22;General services;1;;;true;2026-03-31T21:57:04-07:00;2026-05-04T09:32:20-07:00
7;Guest Book;General services:Guest Book;GB-623;Inventory;Guest Book;Guest Book;25;12.5;67;Sales of Product Income;43;Cost of sales;85;Inventory Asset;false;false;false;;;true;20;;2026-03-31;true;22;General services;1;;;true;2026-03-31T21:57:04-07:00;2026-05-04T09:36:44-07:00
2;Hours;General services:Hours;;Service;;;0;0;1;Services;;;;;false;false;false;;;false;;;;true;22;General services;1;;;true;2026-02-24T10:27:10-08:00;2026-05-04T09:32:20-07:00
1;Services;General services:Services;;Service;;;0;0;1;Services;;;;;false;false;false;;;false;;;;true;22;General services;1;;;true;2026-02-24T10:27:10-08:00;2026-05-04T09:32:20-07:00
