"Product/Service Name","Category","SKU","Type","Sales Description","Sales Price","Income Account","Purchase Description","Purchase Cost","Expense Account","Taxable"
"Forfait de soutien annuel - sur mesure","Entretien et contrats","ENT-0001","Service","Forfait de soutien annuel - sur mesure / mois","529,95","Revenus des dépenses facturables","Forfait de soutien annuel - sur mesure","264,98","Subcontractors - COS","N"
"Intervention sur place - sur mesure","Soutien technique","SOU-0002","Service","Intervention sur place - sur mesure / h","104,95","Revenus des dépenses facturables","Intervention sur place - sur mesure","57,72","Cost of Labour - COS","N"
"Atelier de cadrage - avancé","Services professionnels","SER-0003","Service","Atelier de cadrage - avancé / h","114,95","Revenus des dépenses facturables","Atelier de cadrage - avancé","41,38","Cost of Labour - COS","N"
"Veille de sécurité - gamme A","Entretien et contrats","ENT-0004","Service","Veille de sécurité - gamme A / mois","1860,00","Revenus des dépenses facturables","Veille de sécurité - gamme A","1060,20","Cost of Labour - COS","N"
"Développement de connecteur - standard","Développement","DÉV-0005","Service","Développement de connecteur - standard / h","169,95","Revenus des dépenses facturables","Développement de connecteur - standard","73,08","Subcontractors - COS","N"
"Injecteur PoE - reconditionné","Réseau","RÉS-0006","Non-inventory","Injecteur PoE - reconditionné","2160,00","Sales","Injecteur PoE - reconditionné","1404,00","Purchases - COS","N"
"Onduleur 1500 VA - professionnel","Matériel informatique","MAT-0007","Non-inventory","Onduleur 1500 VA - professionnel","1560,00","Sales","Onduleur 1500 VA - professionnel","1123,20","Coût des produits vendus","N"
"Contrat d'entretien mensuel - petite entreprise","Entretien et contrats","ENT-0008","Service","Contrat d'entretien mensuel - petite entreprise / mois","464,95","Revenus des dépenses facturables","Contrat d'entretien mensuel - petite entreprise","162,73","Subcontractors - COS","N"
"Caméra de conférence - grande entreprise","Matériel informatique","MAT-0009","Non-inventory","Caméra de conférence - grande entreprise","2920,00","Revenus provenant de la vente de produits","Caméra de conférence - grande entreprise","2102,40","Coût des produits vendus","N"
"Pare-feu géré - fin de semaine","Réseau","RÉS-0010","Non-inventory","Pare-feu géré - fin de semaine","939,95","Sales","Pare-feu géré - fin de semaine","620,37","Purchases - COS","N"
"Station d'accueil - standard","Matériel informatique","MAT-0011","Non-inventory","Station d'accueil - standard","2740,00","Revenus provenant de la vente de produits","Station d'accueil - standard","1644,00","Coût des produits vendus","N"
"Mises à jour gérées - avancé","Entretien et contrats","ENT-0012","Service","Mises à jour gérées - avancé / mois","2210,00","Services","Mises à jour gérées - avancé","1215,50","Cost of Labour - COS","N"
"Abonnement infonuagique - professionnel","Licences et abonnements","LIC-0013","Non-inventory","Abonnement infonuagique - professionnel / an","429,95","Sales","Abonnement infonuagique - professionnel","240,77","Supplies and materials - COS","N"
"Manutention - essentiel","Livraison et déplacement","LIV-0014","Service","Manutention - essentiel","29,95","Shipping and Delivery Income","Manutention - essentiel","17,37","Freight and delivery - COS","N"
"Injecteur PoE - standard","Réseau","RÉS-0015","Non-inventory","Injecteur PoE - standard","1730,00","Revenus provenant de la vente de produits","Injecteur PoE - standard","1124,50","Coût des produits vendus","N"
"Plan de relève informatique - professionnel","Services professionnels","SER-0016","Service","Plan de relève informatique - professionnel / h","154,95","Services","Plan de relève informatique - professionnel","54,23","Subcontractors - COS","N"
"Livraison le lendemain - sur mesure","Livraison et déplacement","LIV-0017","Service","Livraison le lendemain - sur mesure","74,95","Shipping and Delivery Income","Livraison le lendemain - sur mesure","35,98","Freight and delivery - COS","N"
"Filtrage de courriel - essentiel","Licences et abonnements","LIC-0018","Non-inventory","Filtrage de courriel - essentiel / an","394,95","Revenus provenant de la vente de produits","Filtrage de courriel - essentiel","229,07","Supplies and materials - COS","N"
"Dépannage à distance - sur mesure","Soutien technique","SOU-0019","Service","Dépannage à distance - sur mesure / h","94,95","Services","Dépannage à distance - sur mesure","36,08","Cost of Labour - COS","N"
"Papier multiusage - urgence","Fournitures","FOU-0020","Non-inventory","Papier multiusage - urgence","169,95","Sales","Papier multiusage - urgence","107,07","Purchases - COS","N"
"Écran 27 po - standard","Matériel informatique","MAT-0021","Non-inventory","Écran 27 po - standard","1270,00","Sales","Écran 27 po - standard","889,00","Supplies and materials - COS","N"
"Surveillance continue - gamme B","Entretien et contrats","ENT-0022","Service","Surveillance continue - gamme B / mois","1760,00","Services","Surveillance continue - gamme B","668,80","Cost of Labour - COS","N"
"Intervention sur place - petite entreprise","Soutien technique","SOU-0023","Service","Intervention sur place - petite entreprise / h","114,95","Services","Intervention sur place - petite entreprise","44,83","Cost of Labour - COS","N"
"Nettoyage de poste - professionnel","Soutien technique","SOU-0024","Service","Nettoyage de poste - professionnel / h","119,95","Revenus des dépenses facturables","Nettoyage de poste - professionnel","51,58","Cost of Labour - COS","N"
"Reprise d'équipement - petite entreprise","Livraison et déplacement","LIV-0025","Service","Reprise d'équipement - petite entreprise","104,95","Shipping and Delivery Income","Reprise d'équipement - petite entreprise","46,18","Freight and delivery - COS","N"
"Reprise d'équipement - essentiel","Livraison et déplacement","LIV-0026","Service","Reprise d'équipement - essentiel","114,95","Shipping and Delivery Income","Reprise d'équipement - essentiel","62,07","Freight and delivery - COS","N"
