Name;Type;Contact Name;Address 1;Address 2;City;Province;Postal Code;Phone;Email;GST/TPS Number;QST/TVQ Number;Balance;Auxiliary Account
Bell Canada;Fournisseur;Service Clientèle;1 Carrefour Alexander-Graham-Bell;;Verdun;QC;H3E 3B3;800-555-2001;facturation@bell.ca;100068079RT0001;1000479143TQ0001;420.50;F001
Hydro-Québec;Fournisseur;Service Affaires;75 boul. René-Lévesque Ouest;;Montréal;QC;H2Z 1A4;800-555-2002;affaires@hydroquebec.com;120000128RT0001;1006001374TQ0001;1820.30;F002
Vidéotron;Fournisseur;Service PME;612 rue Saint-Jacques;;Montréal;QC;H3C 4M8;800-555-2003;pme@videotron.ca;102389476RT0001;1023894765TQ0001;185.40;F003
Costco Wholesale Canada;Fournisseur;Compte Affaires;300 boul. Brunswick;;Pointe-Claire;QC;H9R 1A6;514-555-2004;affaires@costco.ca;101896034RT0001;1018960345TQ0001;3450.85;F004
Bureau en Gros;Fournisseur;Solutions PME;1255 boul. Robert-Bourassa;;Montréal;QC;H3B 3W9;800-555-2005;solutions@bureauengros.com;102345678RT0001;1023456789TQ0001;780.20;F005
RONA inc.;Fournisseur;Service Pro;220 chemin du Tremblay;;Boucherville;QC;J4B 8H7;800-555-2006;pro@rona.ca;100568234RT0001;1005682341TQ0001;1240.50;F006
Imprimerie Solisco;Fournisseur;Jacques Lemieux;120 13e Rue;;Scott;QC;G0S 3G0;418-555-2007;jacques@solisco.com;102678901RT0001;1026789012TQ0001;2850.00;F007
Métro Richelieu;Fournisseur;Compte Commercial;11011 boul. Maurice-Duplessis;;Montréal;QC;H1C 1V6;514-555-2008;commercial@metro.ca;100789012RT0001;1007890123TQ0001;560.30;F008
Sysco Québec;Fournisseur;Yannick Pelletier;9275 boul. Henri-Bourassa Est;;Montréal;QC;H1E 7C7;514-555-2009;y.pelletier@sysco.ca;102890123RT0001;1028901234TQ0001;5420.85;F009
Postes Canada;Fournisseur;Service Affaires;2701 rue Riverside;;Ottawa;ON;K1A 0B1;866-555-2010;affaires@postescanada.ca;121491807RT0001;0000000000TQ0000;125.40;F010
Microsoft Canada;Fournisseur;Compte Entreprise;1950 Meadowvale Blvd;;Mississauga;ON;L5N 8L9;877-555-2011;entreprise@microsoft.ca;107654321RT0001;0000000000TQ0000;1200.00;F011
Dell Canada;Fournisseur;Compte Affaires;155 Gordon Baker Road;;Toronto;ON;M2H 3N5;800-555-2012;affaires@dell.ca;108765432RT0001;0000000000TQ0000;2850.50;F012
Apple Canada;Fournisseur;Compte Affaires;120 Bremner Blvd;;Toronto;ON;M5J 0A8;800-555-2013;affaires@apple.ca;109876543RT0001;0000000000TQ0000;3450.00;F013
Adobe Systems Canada;Fournisseur;Service Entreprise;343 Preston Street;;Ottawa;ON;K1S 1N4;800-555-2014;entreprise@adobe.ca;110987654RT0001;0000000000TQ0000;650.00;F014
Staples Canada;Fournisseur;Solutions Affaires;6 Staples Avenue;;Richmond Hill;ON;L4B 4W3;877-555-2015;solutions@staples.ca;112098765RT0001;0000000000TQ0000;420.80;F015
UPS Canada;Fournisseur;Compte Commercial;1930 16th Avenue;;Richmond Hill;ON;L4C 0L8;800-555-2016;commercial@ups.ca;113109876RT0001;0000000000TQ0000;380.50;F016
FedEx Express Canada;Fournisseur;Service Affaires;5985 Explorer Drive;;Mississauga;ON;L4W 5K6;800-555-2017;affaires@fedex.ca;114210987RT0001;0000000000TQ0000;245.30;F017
Imprimerie Quad Graphics;Fournisseur;Sylvie Dansereau;5945 rue Hochelaga;;Montréal;QC;H1N 1Y3;514-555-2018;s.dansereau@quadgraphics.ca;115321098RT0001;1153210987TQ0001;1820.00;F018
Distribution Aliments Couche-Tard;Fournisseur;Compte Affaires;4204 boul. Industriel;;Laval;QC;H7L 6H8;450-555-2019;affaires@couchetard.ca;116432109RT0001;1164321098TQ0001;325.45;F019
